,original_glcm_ClusterProminence,original_glcm_MCC,original_glszm_HighGrayLevelZoneEmphasis,log-sigma-3-mm-3D_firstorder_Minimum,log-sigma-3-mm-3D_firstorder_Range,log-sigma-3-mm-3D_glcm_ClusterProminence,log-sigma-3-mm-3D_glcm_MCC,log-sigma-3-mm-3D_glrlm_GrayLevelNonUniformityNormalized,log-sigma-3-mm-3D_glrlm_GrayLevelVariance,log-sigma-3-mm-3D_glrlm_HighGrayLevelRunEmphasis,log-sigma-5-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,log-sigma-5-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,log-sigma-5-mm-3D_glrlm_HighGrayLevelRunEmphasis,log-sigma-5-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,log-sigma-5-mm-3D_glrlm_LowGrayLevelRunEmphasis,log-sigma-5-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength
Simp,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
SLC2A3,-0.290225564,-0.302255639,-0.357894737,0.38796992481203,-0.284210526,-0.380451128,-0.437593985,0.350375939849624,-0.359398496,-0.387969925,-0.258646617,-0.192481203,-0.297744361,-0.136842105,0.263157894736842,-0.308270677,0.198496240601504
ANGPTL7,-0.424061205,-0.208957695,-0.556196218,0.640701168651932,-0.6330189,-0.740570655,-0.545441043,0.711378036177085,-0.762081006,-0.666820881,-0.539295228,-0.646846983,-0.6330189,-0.419451844,0.613045003098611,-0.669893788,0.510102609094583
RGS4,-0.154887218,-0.139849624,-0.4,0.347368421052632,-0.213533835,-0.221052632,-0.523308271,0.221052631578947,-0.267669173,-0.326315789,-0.187969925,-0.162406015,-0.204511278,-0.327819549,0.18796992481203,-0.294736842,0.291729323308271
SNCA,-0.118796992,-0.314285714,-0.159398496,0.263157894736842,-0.204511278,-0.243609023,-0.369924812,0.41203007518797,-0.351879699,-0.303759398,-0.168421053,-0.02556391,-0.177443609,-0.106766917,0.12781954887218,-0.14887218,0.318796992481203
GALNT14,-0.705263158,-0.727819549,-0.702255639,0.661654135338346,-0.709774436,-0.502255639,-0.303759398,0.654135338345865,-0.667669173,-0.678195489,-0.621052632,-0.436090226,-0.583458647,-0.559398496,0.482706766917293,-0.512781955,0.706766917293233
CDO1,-0.35037594,-0.215037594,-0.538345865,0.526315789473684,-0.508270677,-0.532330827,-0.448120301,0.514285714285714,-0.556390977,-0.593984962,-0.469172932,-0.434586466,-0.572932331,-0.403007519,0.526315789473684,-0.562406015,0.428571428571429
PTGS2,-0.126315789,-0.272180451,-0.260150376,0.233082706766917,-0.234586466,-0.130827068,0.0225563909774436,0.142857142857143,-0.118796992,-0.168421053,-0.027067669,0.126315789473684,-0.013533835,0.157894736842105,-0.136842105,0.157894736842105,0.406015037593985
FABP4,-0.430075188,-0.416541353,-0.682706767,0.703759398496241,-0.672180451,-0.687218045,-0.729323308,0.709774436090226,-0.742857143,-0.747368421,-0.717293233,-0.727819549,-0.756390977,-0.702255639,0.712781954887218,-0.783458647,0.458646616541353
PLIN4,-0.210526316,0.0631578947368421,-0.187969925,0.303759398496241,-0.318796992,-0.49924812,-0.288721805,0.380451127819549,-0.403007519,-0.287218045,-0.10075188,-0.25112782,-0.192481203,0.0150375939849624,0.218045112781955,-0.260150376,0.148872180451128
GRIA3,0.0225563909774436,-0.021052632,-0.126315789,0.0210526315789474,-0.045112782,-0.139849624,-0.401503759,0.329323308270677,-0.285714286,-0.096240602,-0.088721805,0.0270676691729323,-0.12481203,0.0676691729323308,0,-0.048120301,0.147368421052632
TP63,-0.171428571,-0.242105263,-0.32481203,0.193984962406015,-0.212030075,-0.061654135,-0.147368421,0.24812030075188,-0.242105263,-0.314285714,-0.213533835,-0.171428571,-0.2,-0.22406015,0.117293233082707,-0.14887218,0.419548872180451
ADIPOQ,-0.494870914,-0.2570758,-0.547892798,0.457916267891582,-0.511741513,-0.47157342,-0.502101171,0.55994322582532,-0.57440374,-0.503707895,-0.550302883,-0.676430697,-0.59609451,-0.492460828,0.56396003519279,-0.645099584,0.240205200174707
BLOC1S5-TXNDC5,-0.463157895,-0.473684211,-0.308270677,0.174436090225564,-0.389473684,-0.333834586,-0.330827068,0.569924812030075,-0.502255639,-0.323308271,-0.15037594,-0.297744361,-0.255639098,0.0736842105263158,0.168421052631579,-0.215037594,-0.02556391
